probe_id,locus_link,gene_symbol
11715100_at,LOC8355,HIST1H3G
11715101_s_at,LOC8355,HIST1H3G
11715102_x_at,LOC8355,HIST1H3G
11715103_x_at,LOC126282,TNFAIP8L1
11715104_s_at,LOC92736,OTOP2
11715105_at,LOC284099,C17ORF78
11715106_x_at,,CTAGE6 || CTAGE15
11715107_s_at,,F8A2 || F8A3 || F8A1
11715108_x_at,LOC285501,LINC01098
11715109_at,LOC344658,SAMD7
11715110_at,LOC645432,ARRDC5
11715111_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8
11715112_at,LOC127254,C1ORF173
11715113_x_at,LOC55199,FAM86C1
11715114_x_at,LOC55199,FAM86C1
11715115_s_at,LOC8346,HIST1H2BI
11715116_s_at,LOC8367,HIST1H4E
11715117_x_at,LOC8331,HIST1H2AJ
11715118_s_at,LOC8343,HIST1H2BF
11715119_s_at,LOC388125,C2CD4B
11715120_s_at,LOC8344,HIST1H2BE
11715121_s_at,LOC8350,HIST1H3A
11715122_at,LOC9545,RAB3D
11715123_s_at,LOC255762,PDZD9
11715124_s_at,LOC59283,CACNG8
11715125_at,LOC22880,MORC2
11715126_s_at,LOC8341,HIST1H2BN
11715127_s_at,LOC2854,GPR32
11715128_s_at,LOC56101,PCDHGB5
11715129_s_at,LOC162966,ZNF600
11715130_s_at,LOC337967,KRTAP6-2
11715131_s_at,LOC337975,KRTAP20-1
11715132_x_at,LOC8345,HIST1H2BH
11715133_s_at,LOC56114,PCDHGA1
11715134_s_at,LOC144321,GLIPR1L2
11715135_s_at,LOC10302,SNAPC5
11715136_at,LOC504190,OR8U9
11715137_s_at,LOC280658,SSX7
11715138_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8
11715139_x_at,LOC3446,IFNA10
11715140_s_at,,PCDHA13 || PCDHA11
11715141_s_at,,PCDHGB3 || PCDHGA6
11715142_s_at,LOC2928,GSC2
11715143_s_at,LOC219957,OR9Q2
11715144_s_at,LOC337974,KRTAP19-7
11715145_s_at,LOC337976,KRTAP20-2
11715146_x_at,LOC280658,SSX7
11715147_at,LOC89876,MAATS1
11715148_s_at,LOC317772,HIST2H2AB
11715149_x_at,LOC317772,HIST2H2AB
11715150_s_at,LOC56144,PCDHA4
11715151_x_at,LOC5544,PRB3
11715152_at,LOC56104,PCDHGB1
11715153_s_at,LOC56104,PCDHGB1
11715154_s_at,LOC171392,ZNF675
11715155_s_at,,TUBB8 || TUBBP5
