AGFV feature,AGFV feature ablation score,Probe ID / feature ID,Gene symbol,Genomic locus,Pearson r,Spearman r,Abs Pearson r,Abs Spearman r,Association direction,Probe ablation score,Delta AUC,Delta balanced accuracy,Mean absolute probability change,Combined AGFV-gene score
AGFV078,0.0147500957859242,11719918_s_at,PELO,,-0.46244915257924435,-0.4687739249355728,0.46244915257924435,0.4687739249355728,negative,0.00218058882570676,0.0018915510718789,0.0,0.0028903775382786,1.3328430172573125
AGFV072,0.0081374765418597,11732454_at,KCNJ15,,-0.5723147205860051,-0.547481264177086,0.5723147205860051,0.547481264177086,negative,0.00208089155900143,0.0018915510718789,0.0,0.0018934048712253,1.2841700148784458
AGFV014,0.0079630306995804,11739043_a_at,LIMK2,,-0.6301247152551788,-0.6247915683035226,0.6301247152551788,0.6247915683035226,negative,0.0015005015756366501,0.0012610340479193,0.0,0.0023946752771735,1.270895991371327
AGFV120,0.0101387877506199,11722641_s_at,DGAT2,,0.5779066116346344,0.522133088368202,0.5779066116346344,0.522133088368202,positive,0.00149694355087259,0.0012610340479193,0.0,0.0023590950295329,1.2666784182898698
AGFV014,0.0079630306995804,11722641_s_at,DGAT2,,-0.6221387547228607,-0.6034155267066972,0.6221387547228607,0.6034155267066972,negative,0.00149694355087259,0.0012610340479193,0.0,0.0023590950295329,1.2539832450513297
AGFV120,0.0101387877506199,11726346_a_at,LAT2,,0.5761133422986938,0.5411016542129411,0.5761133422986938,0.5411016542129411,positive,0.00143282601958045,0.0012610340479193,0.0,0.0017179197166115,1.2481236948150385
AGFV078,0.0147500957859242,11744033_s_at,S100A11,,-0.4909439641798387,-0.5026521548696691,0.4909439641798387,0.5026521548696691,negative,0.0014156795327914602,0.0012610340479193,0.0,0.0015464548487216,1.2409615770341382
AGFV120,0.0101387877506199,11725701_a_at,AQP9,,0.5616771282050342,0.5307811859603094,0.5616771282050342,0.5307811859603094,positive,0.0014573528885273002,0.0012610340479193,0.0,0.00196318840608,1.2223022859867225
AGFV014,0.0079630306995804,11725701_a_at,AQP9,,-0.6041506812448235,-0.5956177917668675,0.6041506812448235,0.5956177917668675,negative,0.0014573528885273002,0.0012610340479193,0.0,0.00196318840608,1.2090184383710783
AGFV072,0.0081374765418597,11725701_a_at,AQP9,,-0.5989569647288733,-0.575590951784271,0.5989569647288733,0.575590951784271,negative,0.0014573528885273002,0.0012610340479193,0.0,0.00196318840608,1.2070277619829328
