Split group,AGFV feature,Feature index,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Baseline F1,Ablated F1,Delta F1,Mean absolute probability change,Mean signed probability change,Feature ablation score
Train,AGFV001,0,0.9990490054791915,0.9990307171230222,1.8288356169349207e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.0004322883323766291,-0.00040359608829021454,6.151718940701213e-05
Validation,AGFV001,0,0.9247654018767849,0.9272133822929417,-0.002447980416156792,0.850999592003264,0.8457364341085272,0.0052631578947368585,0.8571428571428571,0.8526785714285714,0.004464285714285698,0.8279569892473119,0.8216216216216217,0.0063353676256902025,0.0018311107996851206,-0.0015373906353488564,0.0029982885585485785
Test,AGFV001,0,0.8859514170040484,0.8901214574898786,-0.00417004048583014,0.8283400809716599,0.8336032388663968,-0.0052631578947368585,0.8311111111111111,0.8355555555555556,-0.004444444444444473,0.8020833333333334,0.8082901554404145,-0.0062068221070811225,0.002243220107629895,-0.0020942550618201494,-0.009208876369804008
Heldout,AGFV001,0,0.9048465758992075,0.908230034545824,-0.0033834586466164884,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.0020376243628561497,-0.001816443051211536,-0.0031796962103308735
All,AGFV001,0,0.9774329597253476,0.978513934568115,-0.0010809748427673682,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.0009102696203626692,-0.0008242646581493318,-0.0009899478807311012
Train,AGFV002,1,0.9990490054791915,0.9990782668490625,-2.9261369871025344e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00033728612470440567,0.00032585160806775093,4.467242599415223e-06
Validation,AGFV002,1,0.9247654018767849,0.9220726234190127,0.0026927784577721603,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0015699967043474317,0.0014097084058448672,0.0028497781282069033
Test,AGFV002,1,0.8859514170040484,0.8851821862348178,0.0007692307692306333,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0017351983115077019,0.001490195980295539,0.0009427506003814035
Heldout,AGFV002,1,0.9048465758992075,0.9029262345051818,0.0019203413940256375,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.001652781618759036,0.0014500418910756707,0.0020856195559015413
All,AGFV002,1,0.9774329597253476,0.9769199699959609,0.0005129897293867369,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.0007289687637239695,0.0006605740054510534,0.0005858866057591339
Train,AGFV003,2,0.9990490054791915,0.9990672938353609,-1.8288356169349207e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00012140586477471516,3.401969661354087e-05,-6.147769691877691e-06
Validation,AGFV003,2,0.9247654018767849,0.9253365973072215,-0.0005711954304365996,0.850999592003264,0.8457364341085272,0.0052631578947368585,0.8571428571428571,0.8526785714285714,0.004464285714285698,0.8279569892473119,0.8216216216216217,0.0063353676256902025,0.0006822434370405972,0.00048735857126303017,0.004760186808004318
Test,AGFV003,2,0.8859514170040484,0.8896356275303644,-0.0036842105263159564,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0006764717982150614,0.0005733522702939808,-0.00361656334649445
Heldout,AGFV003,2,0.9048465758992075,0.9070920544604756,-0.0022454785612681105,0.8396260922576713,0.8369945133103027,0.0026315789473685403,0.844097995545657,0.8418708240534521,0.00222717149220486,0.8148148148148148,0.8116710875331565,0.0031437272816582373,0.0006793511565774679,0.0005304511869326234,0.00045403550175817655
All,AGFV003,2,0.9774329597253476,0.9781740450637587,-0.0007410853384111071,0.9502697478506722,0.9494835843286596,0.0007861635220125507,0.9515915119363395,0.9509283819628647,0.0006631299734748408,0.9425649095200629,0.9417322834645669,0.0008326260554959442,0.0002875314967241138,0.0001818298624129966,7.383133327385494e-05
Train,AGFV004,3,0.9990490054791915,0.9989795097257478,6.949575344372683e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00020622914598789066,0.00014858778740745038,9.01186680425159e-05
Validation,AGFV004,3,0.9247654018767849,0.9264789881680947,-0.0017135862913097988,0.850999592003264,0.8457364341085272,0.0052631578947368585,0.8571428571428571,0.8526785714285714,0.004464285714285698,0.8279569892473119,0.8216216216216217,0.0063353676256902025,0.00048079295083880424,0.00011725085641955957,0.00359765089851094
Test,AGFV004,3,0.8859514170040484,0.8897165991902833,-0.0037651821862348944,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0006055309204384685,0.00016637997759971768,-0.0037046290941910474
Heldout,AGFV004,3,0.9048465758992075,0.9076204023572444,-0.002773826458036921,0.8396260922576713,0.8369945133103027,0.0026315789473685403,0.844097995545657,0.8418708240534521,0.00222717149220486,0.8148148148148148,0.8116710875331565,0.0031437272816582373,0.0005433008773252368,0.00014187012857291847,-8.791742293585702e-05
All,AGFV004,3,0.9774329597253476,0.978266906121978,-0.0008339463966303695,0.9502697478506722,0.9494835843286596,0.0007861635220125507,0.9515915119363395,0.9509283819628647,0.0006631299734748408,0.9425649095200629,0.9417322834645669,0.0008326260554959442,0.00030659069307148457,0.00014658764121122658,-1.7123805310670368e-05
Train,AGFV005,4,0.9990490054791915,0.9990819245202964,-3.291904110491739e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00020494370255619287,8.376198820769787e-05,-1.24246708492981e-05
Validation,AGFV005,4,0.9247654018767849,0.9237862097103223,0.0009791921664625836,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0007835550350137055,-0.0004072917508892715,0.0010575476699639542
Test,AGFV005,4,0.8859514170040484,0.8881376518218623,-0.0021862348178138813,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0007175352657213807,-0.00042607824434526265,-0.002114481291241743
Heldout,AGFV005,4,0.9048465758992075,0.9058016663279822,-0.0009550904287747297,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.0007504716049879789,-0.0004167059378232807,-0.0008800432682759318
All,AGFV005,4,0.9774329597253476,0.9777430976285271,-0.00031013790317946377,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.00036737212212756276,-6.525000935653225e-05,-0.0002734006909667075
Train,AGFV006,5,0.9990490054791915,0.9990709515065948,-2.1946027403241253e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.0002647570217959583,8.165554027073085e-05,4.529674776354577e-06
Validation,AGFV006,5,0.9247654018767849,0.9257445940432477,-0.0009791921664628056,0.850999592003264,0.8457364341085272,0.0052631578947368585,0.8571428571428571,0.8526785714285714,0.004464285714285698,0.8279569892473119,0.8216216216216217,0.0063353676256902025,0.0010530713479965925,0.000496425258461386,0.004389272863073712
Test,AGFV006,5,0.8859514170040484,0.8875303643724697,-0.0015789473684212352,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0012614785227924585,-0.00013256804959382862,-0.0014527995161419892
Heldout,AGFV006,5,0.9048465758992075,0.9062385693964642,-0.001391993497256716,0.8396260922576713,0.8369945133103027,0.0026315789473685403,0.844097995545657,0.8418708240534521,0.00222717149220486,0.8148148148148148,0.8116710875331565,0.0031437272816582373,0.0011575070675462484,0.00018122816982213408,0.001355336156866449
All,AGFV006,5,0.9774329597253476,0.9778900525070683,-0.00045709278172068046,0.9502697478506722,0.9494835843286596,0.0007861635220125507,0.9515915119363395,0.9509283819628647,0.0006631299734748408,0.9425649095200629,0.9417322834645669,0.0008326260554959442,0.000530569173861295,0.00011130284110549837,0.00038212765767799974
Train,AGFV007,6,0.9990490054791915,0.9990416901367237,7.315342467784092e-06,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00018763025582302362,4.639761391445063e-05,2.6078368050086454e-05
Validation,AGFV007,6,0.9247654018767849,0.9243574051407589,0.00040799673602598396,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0009900722652673721,-0.0007447871612384915,0.0005070039625527211
Test,AGFV007,6,0.8859514170040484,0.8866396761133604,-0.0006882591093119172,0.8283400809716599,0.8336032388663968,-0.0052631578947368585,0.8311111111111111,0.8355555555555556,-0.004444444444444473,0.8020833333333334,0.8082901554404145,-0.0062068221070811225,0.0011595628457143903,-0.0009152028360404074,-0.005835460719477337
Heldout,AGFV007,6,0.9048465758992075,0.9049786628733997,-0.0001320869741922026,0.8396260922576713,0.8422576712050396,-0.002631578947368318,0.844097995545657,0.8463251670378619,-0.00222717149220486,0.8148148148148148,0.8179419525065963,-0.003127137691781523,0.0010750063229352236,-0.0008301848429255188,-0.0026561652892669986
All,AGFV007,6,0.9774329597253476,0.9774789394726213,-4.5979747273716676e-05,0.9502697478506722,0.9510559113726849,-0.0007861635220126617,0.9515915119363395,0.9522546419098143,-0.0006631299734748408,0.9425649095200629,0.9433962264150944,-0.0008313168950314642,0.00045184235204942524,-0.00021460073185153306,-0.0007869590340814359
Train,AGFV008,7,0.9990490054791915,0.9990599784928932,-1.0973013701676138e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.000276464648777619,-0.00016670521290507168,1.6673451176085764e-05
Validation,AGFV008,7,0.9247654018767849,0.926234190126479,-0.0014687882496940974,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0011648695217445493,-0.00041455196333117783,-0.0013523012975196424
Test,AGFV008,7,0.8859514170040484,0.8895546558704452,-0.0036032388663967962,0.8283400809716599,0.8336032388663968,-0.0052631578947368585,0.8311111111111111,0.8355555555555556,-0.004444444444444473,0.8020833333333334,0.8082901554404145,-0.0062068221070811225,0.0013776809209957719,-0.000493087456561625,-0.008728628669034077
Heldout,AGFV008,7,0.9048465758992075,0.907295265190002,-0.002448689290794559,0.8396260922576713,0.8422576712050396,-0.002631578947368318,0.844097995545657,0.8463251670378619,-0.00222717149220486,0.8148148148148148,0.8179419525065963,-0.003127137691781523,0.0012715121265500784,-0.0004539071524050087,-0.004953117025507869
All,AGFV008,7,0.9774329597253476,0.9783931250360626,-0.0009601653107149666,0.9502697478506722,0.9510559113726849,-0.0007861635220126617,0.9515915119363395,0.9522546419098143,-0.0006631299734748408,0.9425649095200629,0.9433962264150944,-0.0008313168950314642,0.0005727354437112808,-0.0002522182767279446,-0.0016890552883565002
Train,AGFV009,8,0.9990490054791915,0.999096555205232,-4.7549726040485574e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00014989718329161406,0.0001354399573756382,-3.256000771132417e-05
Validation,AGFV009,8,0.9247654018767849,0.9252549979600164,-0.0004895960832315138,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.00034309204784221947,9.297834367316682e-06,-0.00045528687844729185
Test,AGFV009,8,0.8859514170040484,0.8878542510121458,-0.0019028340080973205,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0002885813300963491,9.93672147160396e-05,-0.0018739758750876856
Heldout,AGFV009,8,0.9048465758992075,0.9059743954480797,-0.0011278195488721998,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.00031577597837895155,5.443282498163171e-05,-0.0010962419510343047
All,AGFV009,8,0.9774329597253476,0.9778512852691709,-0.00041832554382326137,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.000199286820134148,0.00011132045619888231,-0.00039839686180984655
Train,AGFV010,9,0.9990490054791915,0.9990526631504254,-3.657671233892046e-06,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.0004036508034914732,-0.000400054530473426,3.670740911525528e-05
Validation,AGFV010,9,0.9247654018767849,0.9262341901264789,-0.0014687882496939864,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0011954046785831451,-0.0011035080533474684,-0.0013492477818356718
Test,AGFV010,9,0.8859514170040484,0.8880971659919029,-0.0021457489878544678,0.8283400809716599,0.8336032388663968,-0.0052631578947368585,0.8311111111111111,0.8355555555555556,-0.004444444444444473,0.8020833333333334,0.8082901554404145,-0.0062068221070811225,0.001231814967468381,-0.0010977934580296278,-0.007285725385844488
Heldout,AGFV010,9,0.9048465758992075,0.9063198536882746,-0.00147327778906714,0.8396260922576713,0.8422576712050396,-0.002631578947368318,0.844097995545657,0.8463251670378619,-0.00222717149220486,0.8148148148148148,0.8179419525065963,-0.003127137691781523,0.0012136504519730806,-0.0011006443528458476,-0.0039834916912381505
All,AGFV010,9,0.9774329597253476,0.9779802088742714,-0.0005472491489237896,0.9502697478506722,0.9510559113726849,-0.0007861635220126617,0.9515915119363395,0.9522546419098143,-0.0006631299734748408,0.9425649095200629,0.9433962264150944,-0.0008313168950314642,0.000644824409391731,-0.0006086518988013268,-0.0012689302299972783
Train,AGFV011,10,0.9990490054791915,0.9990636361641271,-1.4630684935568183e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,9.300702367909253e-05,-2.3897375285741873e-05,-5.32998256765893e-06
Validation,AGFV011,10,0.9247654018767849,0.9243574051407589,0.00040799673602598396,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.00046468907385133207,-0.000331871269736439,0.00045446564341111717
Test,AGFV011,10,0.8859514170040484,0.8866396761133603,-0.0006882591093118062,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0004465998790692538,-0.000268925738055259,-0.0006435991214048808
Heldout,AGFV011,10,0.9048465758992075,0.9047144889250153,0.0001320869741922026,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.0004556243366096169,-0.0003003283927682787,0.0001776494078531643
All,AGFV011,10,0.9774329597253476,0.9774329597253475,1.1102230246251565e-16,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.0002009746531257406,-0.00010620342072797939,2.0097465312685082e-05
Train,AGFV012,11,0.9990490054791915,0.9989868250682157,6.218041097583171e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00015639774210285395,-7.12541223037988e-05,7.78201851861171e-05
Validation,AGFV012,11,0.9247654018767849,0.9208486332109344,0.003916768665850556,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.000852519937325269,-0.0007714336970821023,0.004002020659583083
Test,AGFV012,11,0.8859514170040484,0.8807287449392712,0.005222672064777223,0.8283400809716599,0.8336032388663968,-0.0052631578947368585,0.8311111111111111,0.8355555555555556,-0.004444444444444473,0.8020833333333334,0.8082901554404145,-0.0062068221070811225,0.000856533064506948,-0.000641202088445425,4.516747649105924e-05
Heldout,AGFV012,11,0.9048465758992075,0.9001016053647632,0.004744970534444226,0.8396260922576713,0.8422576712050396,-0.002631578947368318,0.844097995545657,0.8463251670378619,-0.00222717149220486,0.8148148148148148,0.8179419525065963,-0.003127137691781523,0.0008545309538021684,-0.0007061728392727673,0.0021988446824561247
All,AGFV012,11,0.9774329597253476,0.9759697218856384,0.0014632378397092527,0.9502697478506722,0.9510559113726849,-0.0007861635220126617,0.9515915119363395,0.9522546419098143,-0.0006631299734748408,0.9425649095200629,0.9433962264150944,-0.0008313168950314642,0.00036426365841180086,-0.0002602982276584953,0.000713500683537771
Train,AGFV013,12,0.9990490054791915,0.9990563208216593,-7.315342467784092e-06,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.0002531508798711002,0.00017489297897554934,1.799974551932593e-05
Validation,AGFV013,12,0.9247654018767849,0.9235414116687067,0.001223990208078174,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0005911068292334676,4.7789111704332754e-05,0.0012831008910015207
Test,AGFV013,12,0.8859514170040484,0.8852631578947368,0.0006882591093116952,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0006310825701802969,-1.8624539734446444e-05,0.0007513673663297249
Heldout,AGFV013,12,0.9048465758992075,0.9037797195691931,0.001066856330014354,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.000611139228567481,1.4508327694784384e-05,0.0011279702528711022
All,AGFV013,12,0.9774329597253476,0.9770461889100455,0.00038677081530213986,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.0003597402246668935,0.00012713918113149703,0.0004227448377688292
Train,AGFV014,13,0.9990490054791915,0.999005113424385,4.3892054806482506e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.0001738925202516839,-5.314812369761057e-05,6.128130683165089e-05
Validation,AGFV014,13,0.9247654018767849,0.9203590371277031,0.004406364749081848,0.850999592003264,0.8457364341085272,0.0052631578947368585,0.8571428571428571,0.8526785714285714,0.004464285714285698,0.8279569892473119,0.8216216216216217,0.0063353676256902025,0.0009341393015347421,0.0003212673182133585,0.00976293657397218
Test,AGFV014,13,0.8859514170040484,0.8807287449392712,0.005222672064777223,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0010411316761747003,0.0005999804707244039,0.005326785232394693
Heldout,AGFV014,13,0.9048465758992075,0.8996138996138996,0.00523267628530788,0.8396260922576713,0.8369945133103027,0.0026315789473685403,0.844097995545657,0.8418708240534521,0.00222717149220486,0.8148148148148148,0.8116710875331565,0.0031437272816582373,0.0009877546690404415,0.0004609343013726175,0.007963030699580464
All,AGFV014,13,0.9774329597253476,0.9757894091512318,0.001643550574115804,0.9502697478506722,0.9494835843286596,0.0007861635220125507,0.9515915119363395,0.9509283819628647,0.0006631299734748408,0.9425649095200629,0.9417322834645669,0.0008326260554959442,0.0004162161494605243,9.991752449423075e-05,0.002471335711074407
Train,AGFV015,14,0.9990490054791915,0.9989904827394493,5.852273974216171e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00021604998619295657,0.0001594529312569648,8.012773836145737e-05
