Region label,Region name,hemisphere,RSN,Region ablation score,Delta AUC,Delta balanced accuracy,Mean absolute probability change,Mean AGFV absolute change,Max Region-AGFV-gene score,Mean top-50 Region-AGFV-gene score,Top linked AGFV features,Top linked genes
17,Left-Hippocampus,L,Subcortical,0.3419397674953377,0.0205869672333086,0.0509669869425967,0.0979146205663207,0.1628026844658187,2.4741032759311166,2.2802362923572663,AGFV051; AGFV014; AGFV091; AGFV120; AGFV072; AGFV078; AGFV118; AGFV121; AGFV115; AGFV019; AGFV054; AGFV094; AGFV057; AGFV101; AGFV113,PYGL; DOK3; NCF4; FAM53C; GLT1D1; DYSF; OSBPL2; ACSL1; PILRA; SLC25A44; IL1R2; LIMK2; DGAT2; PDLIM7; MAEA
2,Left-Cerebral-White-Matter,,,0.2662175721095912,0.0074679724069967,0.0072370041882238,0.0937476589277551,0.1497538868628586,2.1319638012762834,1.983425163828083,AGFV014; AGFV051; AGFV091; AGFV120; AGFV072; AGFV078; AGFV118; AGFV121; AGFV019; AGFV115; AGFV094; AGFV054; AGFV057; AGFV101; AGFV025,DOK3; PYGL; NCF4; OSBPL2; FAM53C; PILRA; GLT1D1; DYSF; SLC25A44; LIMK2; DGAT2; PDLIM7; ACSL1; PHC2; MAP3K3
41,Right-Cerebral-White-Matter,,,0.1831081873987162,0.0202790096082777,0.0094850948509485,0.051073615723521,0.0975743346192838,1.7949012974808092,1.6548300292091518,AGFV091; AGFV014; AGFV120; AGFV051; AGFV078; AGFV072; AGFV094; AGFV019; AGFV118; AGFV121; AGFV057; AGFV054; AGFV115; AGFV126; AGFV025,OSBPL2; DOK3; NCF4; PILRA; FAM53C; GLT1D1; DYSF; PDLIM7; SLC25A44; PYGL; MAP3K3; LIMK2; DGAT2; PHC2; LILRA2
16,Brain-Stem,,,0.1509286190645072,0.0067288741069228,0.0254372998275437,0.038647965495912,0.0767995625070569,1.6186379776425184,1.5041783204516637,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV019; AGFV094; AGFV118; AGFV121; AGFV057; AGFV054; AGFV126; AGFV025; AGFV115,OSBPL2; PILRA; DOK3; NCF4; FAM53C; PYGL; GLT1D1; PDLIM7; DYSF; SLC25A44; MAP3K3; RASGRP4; LIMK2; DGAT2; LTB4R
1030,ctx-lh-superiortemporal,L,Somato-motor,0.1434236982658763,0.0002001724562699,0.0072370041882238,0.0493675917052555,0.0819227973194419,1.6026379830482764,1.4838146429745043,AGFV091; AGFV014; AGFV120; AGFV072; AGFV078; AGFV051; AGFV094; AGFV019; AGFV118; AGFV057; AGFV121; AGFV054; AGFV126; AGFV025; AGFV115,OSBPL2; DOK3; PILRA; NCF4; FAM53C; PYGL; GLT1D1; PDLIM7; DYSF; SLC25A44; MAP3K3; LIMK2; DGAT2; RASGRP4; NFIL3
1028,ctx-lh-superiorfrontal,L,Default Mode Network,0.1193786269684527,-0.0097468588322247,0.0081916728258192,0.0458714156938994,0.0711949939660416,1.4935506760791177,1.3919803917200642,AGFV091; AGFV014; AGFV120; AGFV072; AGFV078; AGFV051; AGFV019; AGFV094; AGFV118; AGFV057; AGFV121; AGFV054; AGFV025; AGFV126; AGFV115,OSBPL2; DOK3; PILRA; NCF4; FAM53C; GLT1D1; PYGL; DYSF; SLC25A44; PDLIM7; MAP3K3; LIMK2; DGAT2; RASGRP4; NFIL3
18,Left-Amygdala,L,Subcortical,0.1150162387294032,0.0036954915003695,0.0198632668144863,0.0334629108691948,0.0541271662304354,1.4543683546126944,1.3494164021843753,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV118; AGFV057; AGFV054; AGFV121; AGFV126; AGFV025; AGFV018,OSBPL2; PILRA; DOK3; NCF4; PYGL; FAM53C; PDLIM7; GLT1D1; MAP3K3; DYSF; SLC25A44; RASGRP4; LTB4R; LOC100653194; SIRPB1
1015,ctx-lh-middletemporal,L,Default Mode Network,0.1073310592052333,-0.0055586351318058,-0.0044345898004434,0.0441659756920696,0.0690146620365731,1.4581849762289971,1.3485559186154854,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV019; AGFV094; AGFV118; AGFV057; AGFV054; AGFV121; AGFV126; AGFV025; AGFV115,OSBPL2; PILRA; DOK3; NCF4; FAM53C; PYGL; PDLIM7; GLT1D1; DYSF; MAP3K3; SLC25A44; RASGRP4; LIMK2; DGAT2; LTB4R
8,Left-Cerebellum-Cortex,L,Cerebellum,0.0900225920308271,0.0094696969696969,-0.0081916728258191,0.0295132621942674,0.0564688747534554,1.413299970132937,1.2974375622699088,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV118; AGFV121; AGFV054; AGFV126; AGFV025; AGFV018,OSBPL2; PILRA; DOK3; NCF4; FAM53C; PDLIM7; PYGL; MAP3K3; GLT1D1; DYSF; SLC25A44; LILRA2; PXN; LIMK2; DGAT2
31,Left-choroid-plexus,,,0.0894665934525834,0.0027562207440255,0.0188162108893816,0.0219796032848052,0.0437046137829896,1.3622958025371847,1.2570229758576152,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV118; AGFV054; AGFV121; AGFV126; AGFV025; AGFV018,OSBPL2; PILRA; DOK3; NCF4; FAM53C; PYGL; PDLIM7; MAP3K3; GLT1D1; DYSF; SLC25A44; PXN; STAT5B; REPS2; RASGRP4
12,Left-Putamen,L,Subcortical,0.0849280434183731,-0.000939270756344,0.0137657058388765,0.0254756054462792,0.0438635719503348,1.3561945108205948,1.2493153264433319,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV118; AGFV054; AGFV121; AGFV126; AGFV025; AGFV018,OSBPL2; PILRA; DOK3; NCF4; FAM53C; PYGL; PDLIM7; MAP3K3; GLT1D1; DYSF; PXN; SLC25A44; RASGRP4; STAT5B; REPS2
