Gene,Probe_count,Max_delta_AUC,Mean_delta_AUC,Max_delta_balanced_accuracy,Mean_delta_balanced_accuracy,Max_probability_change,Mean_probability_change,Max_probe_ablation_score,Mean_probe_ablation_score
WDR1,1,0.003783102143757988,0.003783102143757988,0.0,0.0,0.002562891226261854,0.002562891226261854,0.004039391266384173,0.004039391266384173
AJAP1,1,0.0031525851197982124,0.0031525851197982124,0.0,0.0,0.004587941337376833,0.004587941337376833,0.003611379253535896,0.003611379253535896
CCP110,1,0.0031525851197982124,0.0031525851197982124,0.0,0.0,0.004407260101288557,0.004407260101288557,0.0035933111299270683,0.0035933111299270683
KCNK3,1,0.0031525851197982124,0.0031525851197982124,0.0,0.0,0.003020480740815401,0.003020480740815401,0.0034546331938797525,0.0034546331938797525
MME,5,0.0031525851197982124,0.0011349306431273742,0.0,0.0,0.0029803456272929907,0.0018381858011707664,0.0034506196825275113,0.0013187492232444508
RALGPS1,1,0.0025220680958386588,0.0025220680958386588,0.0,0.0,0.004675904754549265,0.004675904754549265,0.0029896585712935854,0.0029896585712935854
FMO1,1,0.0025220680958386588,0.0025220680958386588,0.0,0.0,0.0032282837200909853,0.0032282837200909853,0.0028448964678477575,0.0028448964678477575
FAM160A1,1,0.0025220680958386588,0.0025220680958386588,0.0,0.0,0.0032077650539577007,0.0032077650539577007,0.0028428446012344287,0.0028428446012344287
RPEL1,2,0.0025220680958386588,0.001891551071878994,0.0,0.0,0.0031306722667068243,0.0029863935196772218,0.0028062795731034207,0.0021901904238467163
TMEM133,1,0.0025220680958386588,0.0025220680958386588,0.0,0.0,0.002127674873918295,0.002127674873918295,0.0027348355832304883,0.0027348355832304883
CLDN22,1,0.0025220680958386588,0.0025220680958386588,0.0,0.0,0.0010328192729502916,0.0010328192729502916,0.002625350023133688,0.002625350023133688
STAG3,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.004845496732741594,0.004845496732741594,0.0023761007451531535,0.0023761007451531535
IQCA1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.004782280884683132,0.004782280884683132,0.0023697791603473073,0.0023697791603473073
TRPV1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.004371480084955692,0.004371480084955692,0.0023286990803745634,0.0023286990803745634
FOXD2,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.004212723113596439,0.004212723113596439,0.002312823383238638,0.002312823383238638
PLCXD1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.003692662576213479,0.003692662576213479,0.002260817329500342,0.002260817329500342
SNORA5B,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0034244752023369074,0.0034244752023369074,0.002233998592112685,0.002233998592112685
KRTAP23-1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0033808050211519003,0.0033808050211519003,0.002229631573994184,0.002229631573994184
DCAF5,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.003194716526195407,0.003194716526195407,0.002211022724498535,0.002211022724498535
FOXR1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0031898648012429476,0.0031898648012429476,0.002210537552003289,0.002210537552003289
ZNF713,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0031293826177716255,0.0031293826177716255,0.0022044893336561565,0.0022044893336561565
SNX11,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.003113806014880538,0.003113806014880538,0.002202931673367048,0.002202931673367048
LCE2C,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002985850442200899,0.002985850442200899,0.002190136116099084,0.002190136116099084
A2ML1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002898376900702715,0.002898376900702715,0.0021813887619492657,0.0021813887619492657
PELO,2,0.001891551071878994,0.0015762925598991617,0.0,0.0,0.002890377538278699,0.002497687702998519,0.002180588825706864,0.0018260613301990134
PPIH,2,0.001891551071878994,0.0015762925598991617,0.0,0.0,0.002885163063183427,0.00252076075412333,0.0021800673781973367,0.0018283686353114947
ERCC8,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002838362939655781,0.002838362939655781,0.002175387365844572,0.002175387365844572
SEMA4B,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002810969715937972,0.002810969715937972,0.0021726480434727915,0.0021726480434727915
ENSG00000249382,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002711725188419223,0.002711725188419223,0.0021627235907209163,0.0021627235907209163
EPN3,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002683565951883793,0.002683565951883793,0.0021599076670673735,0.0021599076670673735
CTXN3,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002610574709251523,0.002610574709251523,0.0021526085428041465,0.0021526085428041465
GTSE1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002562989015132189,0.002562989015132189,0.002147849973392213,0.002147849973392213
EFCAB11,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002520291367545724,0.002520291367545724,0.0021435802086335666,0.0021435802086335666
ZNF396,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002461264608427882,0.002461264608427882,0.002137677532721782,0.002137677532721782
MAOB,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002455458277836442,0.002455458277836442,0.0021370968996626384,0.0021370968996626384
ZNF117,2,0.001891551071878994,0.000945775535939497,0.0,0.0,0.00242004101164639,0.0015468135243281722,0.002133555173043633,0.0011004568883723142
KLHL4,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0024122726172208786,0.0024122726172208786,0.0021327783336010818,0.0021327783336010818
TP73-AS1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0023848465643823147,0.0023848465643823147,0.0021300357283172257,0.0021300357283172257
GPC1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0023369977716356516,0.0023369977716356516,0.0021252508490425593,0.0021252508490425593
NRP1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002287443960085511,0.002287443960085511,0.002120295467887545,0.002120295467887545
ZNF169,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0022312146611511707,0.0022312146611511707,0.0021146725379941112,0.0021146725379941112
COLCA1,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0021260648500174284,0.0021260648500174284,0.002104157556880737,0.002104157556880737
ITGB8,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.002054347889497876,0.002054347889497876,0.0020969858608287815,0.0020969858608287815
Unknown,34,0.001891551071878994,7.417847340703244e-05,0.0,0.0,0.004238802473992109,0.0014927107224460034,0.002094091566380585,0.00022344954565163276
RXRG,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.001933708437718451,0.001933708437718451,0.002084921915650839,0.002084921915650839
TPM4,3,0.001891551071878994,0.00042034468263981345,0.0,0.0,0.0019067032262682915,0.0014139851361202698,0.0020822213945058234,0.0005617431962518404
KCNJ15,2,0.001891551071878994,0.000945775535939497,0.0,0.0,0.001893404871225357,0.0014824336394667625,0.0020808915590015296,0.0010940188998861732
ILF3,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0018041384173557162,0.0018041384173557162,0.002071964913614566,0.002071964913614566
NIT2,1,0.001891551071878994,0.001891551071878994,0.0,0.0,0.0016328587662428617,0.0016328587662428617,0.0020548369485032802,0.0020548369485032802
SDCBP,3,0.001891551071878994,0.0006305170239596647,0.0,0.0,0.001601258059963584,0.001054506826524933,0.0020516768778753524,0.0007359677066121579
VCAM1,1,0.0012610340479193294,0.0012610340479193294,0.0,0.0,0.005214512348175049,0.005214512348175049,0.0017824852827368343,0.0017824852827368343
TUBAL3,1,0.0012610340479193294,0.0012610340479193294,0.0,0.0,0.005141670815646648,0.005141670815646648,0.0017752011294839944,0.0017752011294839944
CATSPER2,1,0.0012610340479193294,0.0012610340479193294,0.0,0.0,0.005094069056212902,0.005094069056212902,0.0017704409535406196,0.0017704409535406196
