Split group,Probe ID / feature ID,Feature index,Gene symbol,Genomic locus,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Mean absolute probability change,Mean signed probability change,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Final GE branch panel,Final GE branch panel size,Final GE branch selection rule,Selected probe panel label,Selected probe panel size,Approximate unique gene symbols in selected panel
Validation,11747751_s_at,0,SLC2A14 || SLC2A3,,0.9717948717948719,0.9717948717948719,0.0,0.8948717948717949,0.8948717948717949,0.0,0.8837209302325582,0.8837209302325582,0.0,0.0020672259852290154,0.0007069992134347558,,0.250569598483441,4.65707947019868,4.30561576173448,2.25796136118254e-05,0.310296698028294,2.36847867243681,1,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Test,11747751_s_at,0,SLC2A14 || SLC2A3,,0.9578163771712158,0.9578163771712158,0.0,0.913151364764268,0.913151364764268,0.0,0.9090909090909091,0.9090909090909091,0.0,0.001979569671675563,0.0010586666176095605,,0.250569598483441,4.65707947019868,4.30561576173448,2.25796136118254e-05,0.310296698028294,2.36847867243681,1,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Heldout,11747751_s_at,0,SLC2A14 || SLC2A3,,0.9653215636822194,0.965952080706179,-0.0006305170239595537,0.9041614123581336,0.9041614123581336,0.0,0.896551724137931,0.896551724137931,0.0,0.002022894099354744,0.0008848540601320565,,0.250569598483441,4.65707947019868,4.30561576173448,2.25796136118254e-05,0.310296698028294,2.36847867243681,1,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Validation,11742204_a_at,1,MAPK14,,0.9717948717948719,0.9717948717948719,0.0,0.8948717948717949,0.8948717948717949,0.0,0.8837209302325582,0.8837209302325582,0.0,0.0012889988720417023,-0.00017540334374643862,LOC1432,0.194035139543118,8.77088741721854,4.26895958200686,2.63757216100178e-05,0.310296698028294,2.23489556475232,2,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Test,11742204_a_at,1,MAPK14,,0.9578163771712158,0.9578163771712158,0.0,0.913151364764268,0.913151364764268,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0015725031262263656,-7.315445691347122e-05,LOC1432,0.194035139543118,8.77088741721854,4.26895958200686,2.63757216100178e-05,0.310296698028294,2.23489556475232,2,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Heldout,11742204_a_at,1,MAPK14,,0.9653215636822194,0.965952080706179,-0.0006305170239595537,0.9041614123581336,0.9041614123581336,0.0,0.896551724137931,0.896551724137931,0.0,0.0014323802897706628,-0.000123691264889203,LOC1432,0.194035139543118,8.77088741721854,4.26895958200686,2.63757216100178e-05,0.310296698028294,2.23489556475232,2,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Validation,11744292_at,2,NAB2,,0.9717948717948719,0.9717948717948719,0.0,0.8948717948717949,0.8948717948717949,0.0,0.8837209302325582,0.8837209302325582,0.0,0.002848506672307849,4.264855306246318e-05,LOC4665,-0.144177605398864,4.13349668874172,-4.24767584238358,2.88521730175864e-05,0.310296698028294,2.15779103035766,3,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Test,11744292_at,2,NAB2,,0.9578163771712158,0.9553349875930521,0.002481389578163684,0.913151364764268,0.913151364764268,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0031307870522141457,-0.0004316325066611171,LOC4665,-0.144177605398864,4.13349668874172,-4.24767584238358,2.88521730175864e-05,0.310296698028294,2.15779103035766,3,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Heldout,11744292_at,2,NAB2,,0.9653215636822194,0.9640605296343001,0.0012610340479193294,0.9041614123581336,0.9041614123581336,0.0,0.896551724137931,0.896551724137931,0.0,0.0029912698082625866,-0.00019721768330782652,LOC4665,-0.144177605398864,4.13349668874172,-4.24767584238358,2.88521730175864e-05,0.310296698028294,2.15779103035766,3,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Validation,11760274_at,3,EIF3H,,0.9717948717948719,0.9717948717948719,0.0,0.8948717948717949,0.8948717948717949,0.0,0.8837209302325582,0.8837209302325582,0.0,0.0016759814461693168,-0.0005128500051796436,,0.239454868581359,3.89272847682119,4.24557253117395,2.91086193641601e-05,0.310296698028294,2.15018967710719,4,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Test,11760274_at,3,EIF3H,,0.9578163771712158,0.9553349875930521,0.002481389578163684,0.913151364764268,0.913151364764268,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0019011759432032704,-0.0004027218383271247,,0.239454868581359,3.89272847682119,4.24557253117395,2.91086193641601e-05,0.310296698028294,2.15018967710719,4,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Heldout,11760274_at,3,EIF3H,,0.9653215636822194,0.9646910466582598,0.0006305170239596647,0.9041614123581336,0.9041614123581336,0.0,0.896551724137931,0.896551724137931,0.0,0.0017898726509884,-0.0004571530153043568,,0.239454868581359,3.89272847682119,4.24557253117395,2.91086193641601e-05,0.310296698028294,2.15018967710719,4,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Validation,11756334_x_at,4,ANXA3,,0.9717948717948719,0.9717948717948719,0.0,0.8948717948717949,0.8948717948717949,0.0,0.8837209302325582,0.8837209302325582,0.0,0.002443854697048664,0.00021299798390828073,LOC306,0.422467140872147,8.09656622516556,4.22741046463234,3.14154515478369e-05,0.310296698028294,2.08468923018888,5,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Test,11756334_x_at,4,ANXA3,,0.9578163771712158,0.9578163771712158,0.0,0.913151364764268,0.913151364764268,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0025180678348988295,0.0009716304484754801,LOC306,0.422467140872147,8.09656622516556,4.22741046463234,3.14154515478369e-05,0.310296698028294,2.08468923018888,5,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Heldout,11756334_x_at,4,ANXA3,,0.9653215636822194,0.9653215636822194,0.0,0.9041614123581336,0.9041614123581336,0.0,0.896551724137931,0.896551724137931,0.0,0.0024813879281282425,0.0005966741591691971,LOC306,0.422467140872147,8.09656622516556,4.22741046463234,3.14154515478369e-05,0.310296698028294,2.08468923018888,5,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Validation,11751113_a_at,5,SNX11,,0.9717948717948719,0.9692307692307692,0.002564102564102666,0.8948717948717949,0.8948717948717949,0.0,0.8837209302325582,0.8837209302325582,0.0,0.002672134432941675,-0.0008709771209396422,LOC29916,0.146144969517026,5.06749006622517,4.07651533579414,5.86039434899556e-05,0.345271592270675,1.55005012790387,6,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Test,11751113_a_at,5,SNX11,,0.9578163771712158,0.9553349875930521,0.002481389578163684,0.913151364764268,0.913151364764268,0.0,0.9090909090909091,0.9090909090909091,0.0,0.003545439336448908,0.0014458781806752086,LOC29916,0.146144969517026,5.06749006622517,4.07651533579414,5.86039434899556e-05,0.345271592270675,1.55005012790387,6,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Heldout,11751113_a_at,5,SNX11,,0.9653215636822194,0.9634300126103404,0.001891551071878994,0.9041614123581336,0.9041614123581336,0.0,0.896551724137931,0.896551724137931,0.0,0.003113806014880538,0.00030076573602855206,LOC29916,0.146144969517026,5.06749006622517,4.07651533579414,5.86039434899556e-05,0.345271592270675,1.55005012790387,6,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Validation,11730765_at,6,CD177,,0.9717948717948719,0.9717948717948719,0.0,0.8948717948717949,0.8948717948717949,0.0,0.8837209302325582,0.8837209302325582,0.0,0.002980466466397047,-0.0011130593484267592,LOC57126,0.576577919345298,3.56375496688742,4.06873263021161,6.0489387465316e-05,0.345271592270675,1.5229401644436,7,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
Test,11730765_at,6,CD177,,0.9578163771712158,0.9528535980148883,0.004962779156327479,0.913151364764268,0.913151364764268,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0036537328269332647,-9.376339585287496e-05,LOC57126,0.576577919345298,3.56375496688742,4.06873263021161,6.0489387465316e-05,0.345271592270675,1.5229401644436,7,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
