Split group,Region label,Region name,hemisphere,acronyms,subcortex,RSN,BraakStage,"Subjects, n",Mean mask voxels in 64^3,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Baseline F1,Ablated F1,Delta F1,Mean absolute probability change,Median absolute probability change,Mean signed probability change,"Prediction changed, n","Prediction changed, fraction",Mean AGFV L2 change,Mean AGFV absolute change,Mean top AGFV absolute delta,MNI.x,MNI.y,MNI.z,Region ablation score
Heldout,2,Left-Cerebral-White-Matter,,,,,,362,8831.0,0.9060267307218526,0.8985587583148559,0.0074679724069967035,0.8276361172702636,0.8203991130820398,0.007237004188223817,0.8314917127071824,0.8287292817679558,0.002762430939226568,0.8087774294670846,0.7947019867549668,0.014075442712117803,0.09374765892775513,0.00024741562083363533,0.045322179992410526,29,0.08011049723756906,2.0572998410255456,0.14975388686285865,0.46193774573463764,,,,0.2662175721095912
Validation,2,Left-Cerebral-White-Matter,,,,,,181,8831.0,0.9307711258930772,0.9167282581916727,0.014042867701404504,0.8397388519339739,0.8355506282335551,0.004188223700418825,0.8453038674033149,0.8453038674033149,0.0,0.8205128205128205,0.8108108108108109,0.009702009702009629,0.10551105871364393,0.00018012523651123047,0.04567539426935476,16,0.08839779005524862,2.1741391766857543,0.15851101030219986,0.48673951208015176,,,,0.291092939423192
Test,2,Left-Cerebral-White-Matter,,,,,,181,8831.0,0.8814363143631436,0.8806356245380635,0.0008006898250800809,0.8155333826065534,0.8052475979305247,0.010285784676028698,0.8176795580110497,0.8121546961325967,0.0055248618784530246,0.7975460122699386,0.7792207792207793,0.01832523304915934,0.08198425914186634,0.0003707008436322212,0.04496896571546628,13,0.0718232044198895,1.9404605053653374,0.14099676342351744,0.4371359793891235,,,,0.2412498175084815
Heldout,4,Left-Lateral-Ventricle,,,,,,362,270.0,0.9060267307218526,0.9043483616654349,0.0016783690564177167,0.8276361172702636,0.8337336782458734,-0.0060975609756097615,0.8314917127071824,0.8370165745856354,-0.0055248618784530246,0.8087774294670846,0.8161993769470405,-0.007421947479955837,0.017220135913256204,8.028373122215271e-05,-0.011527788245186046,8,0.022099447513812154,0.5400428519280658,0.039156259438254515,0.1224688047759276,,,,0.05416714818369989
Validation,4,Left-Lateral-Ventricle,,,,,,181,270.0,0.9307711258930772,0.9220251293422025,0.008745996550874713,0.8397388519339739,0.8397388519339739,0.0,0.8453038674033149,0.8453038674033149,0.0,0.8205128205128205,0.8205128205128205,0.0,0.0136668278105063,6.254902109503746e-05,-0.006891448969196384,4,0.022099447513812154,0.459848064918956,0.033236344337838994,0.10501162125343118,,,,0.05785911345060123
Test,4,Left-Lateral-Ventricle,,,,,,181,270.0,0.8814363143631436,0.8861788617886179,-0.004742547425474308,0.8155333826065534,0.8277285045577728,-0.012195121951219412,0.8176795580110497,0.8287292817679558,-0.011049723756906049,0.7975460122699386,0.8121212121212121,-0.014575199851273535,0.02077344401600611,9.441375732421875e-05,-0.016164127521175707,4,0.022099447513812154,0.6202376389371757,0.045076174538670036,0.13992598829842404,,,,0.05112189392936364
Heldout,5,Left-Inf-Lat-Vent,,,,,,362,2.0,0.9060267307218526,0.9061345158906134,-0.00010778516876086552,0.8276361172702636,0.8281596452328159,-0.0005235279625522837,0.8314917127071824,0.8314917127071824,0.0,0.8087774294670846,0.8099688473520249,-0.0011914178849402601,0.0037146382875102497,1.0507181286811829e-05,-0.0015890883521089403,2,0.0055248618784530384,0.11475181710940978,0.00830898936672293,0.025821077673392402,,,,0.011944800710765336
Validation,5,Left-Inf-Lat-Vent,,,,,,181,2.0,0.9307711258930772,0.9313870411431387,-0.0006159152500615495,0.8397388519339739,0.8346883468834688,0.005050505050505083,0.8453038674033149,0.8397790055248618,0.0055248618784530246,0.8205128205128205,0.8152866242038217,0.005226196308998787,0.003831855011126284,7.946044206619263e-06,-0.0017696510928358821,1,0.0055248618784530384,0.1034679209888004,0.007474560906740101,0.02323624674868847,,,,0.01629349190615522
Test,5,Left-Inf-Lat-Vent,,,,,,181,2.0,0.8814363143631436,0.8802660753880266,0.0011702389751170328,0.8155333826065534,0.8216309435821632,-0.0060975609756097615,0.8176795580110497,0.8232044198895028,-0.0055248618784530246,0.7975460122699386,0.8048780487804879,-0.007332036510549256,0.003597421563894215,1.1772383004426956e-05,-0.0014085256113819983,1,0.0055248618784530384,0.12603571323001916,0.009143417826705762,0.02840590859809633,,,,0.008366003577952552
Heldout,7,Left-Cerebellum-White-Matter,,,,,,362,867.0,0.9060267307218526,0.9124630450849963,-0.006436314363143736,0.8276361172702636,0.8261579206701157,0.0014781966001479185,0.8314917127071824,0.8287292817679558,0.002762430939226568,0.8087774294670846,0.808641975308642,0.0001354541584426272,0.014843747922790479,9.100744500756264e-05,-0.009598086680702412,5,0.013812154696132596,0.5086424347342543,0.03682358109199915,0.11540766006839868,,,,0.04809042672140707
