Model,Config,Split,"Subjects, n",Best epoch,MRI-derived AGFV AUC,MRI-derived AGFV balanced accuracy,MRI-derived AGFV accuracy,MRI-derived AGFV AD sensitivity,MRI-derived AGFV CN specificity,MRI-derived AGFV F1,GE-derived AGFV AUC,GE-derived AGFV balanced accuracy,MRI-GE alignment cosine mean,MRI-GE alignment cosine median,MRI-GE alignment subject-wise r,MRI-GE alignment feature-wise r,MRI-GE alignment MSE,TN,FP,FN,TP
MRI-aligned molecular representation,agfv_h256_align050_contrast010,Train,202,22,0.9992888467464739,0.993006993006993,0.9900990099009901,1.0,0.986013986013986,0.9833333333333333,1.0,1.0,0.9159687161445618,0.9285104274749756,0.9178107563611363,0.7004629579931707,0.174617201089859,141,2,0,59
MRI-aligned molecular representation,agfv_h256_align050_contrast010,Validation,43,22,0.905128205128205,0.8179487179487179,0.8372093023255814,0.7692307692307693,0.8666666666666667,0.7407407407407407,0.9820512820512821,0.8948717948717949,0.627957284450531,0.8778167963027954,0.631028251023931,0.3081059378207942,0.5231305360794067,26,4,3,10
MRI-aligned molecular representation,agfv_h256_align050_contrast010,Test,44,22,0.9032258064516129,0.913151364764268,0.9090909090909091,0.9230769230769231,0.9032258064516129,0.8571428571428571,0.9602977667493796,0.913151364764268,0.77081298828125,0.9019138813018799,0.7727927801162273,0.5157371651252243,0.35252079367637634,28,3,1,12
MRI-aligned molecular representation,agfv_h256_align100_contrast010,Train,202,22,0.9992888467464739,0.993006993006993,0.9900990099009901,1.0,0.986013986013986,0.9833333333333333,1.0,1.0,0.918108344078064,0.9313232898712158,0.9192899339428756,0.7062006473970652,0.17836084961891174,141,2,0,59
MRI-aligned molecular representation,agfv_h256_align100_contrast010,Validation,43,22,0.8999999999999999,0.8179487179487179,0.8372093023255814,0.7692307692307693,0.8666666666666667,0.7407407407407407,0.9820512820512821,0.8948717948717949,0.6294256448745728,0.8793585300445557,0.6317577782612354,0.31039605435674295,0.5323461294174194,26,4,3,10
MRI-aligned molecular representation,agfv_h256_align100_contrast010,Test,44,22,0.9057071960297767,0.913151364764268,0.9090909090909091,0.9230769230769231,0.9032258064516129,0.8571428571428571,0.9627791563275434,0.913151364764268,0.7725755572319031,0.9036080837249756,0.7739885725079457,0.52151586949509,0.35945045948028564,28,3,1,12
MRI-aligned molecular representation,agfv_h128_align100_contrast020,Train,202,20,0.9991703212042196,0.993006993006993,0.9900990099009901,1.0,0.986013986013986,0.9833333333333333,1.0,1.0,0.8810980916023254,0.8857681751251221,0.8816101127959859,0.7104306769532438,0.11035022139549255,141,2,0,59
MRI-aligned molecular representation,agfv_h128_align100_contrast020,Validation,43,20,0.9153846153846155,0.8179487179487179,0.8372093023255814,0.7692307692307693,0.8666666666666667,0.7407407407407407,0.9666666666666667,0.9333333333333333,0.6096343398094177,0.8268097639083862,0.6105117221547466,0.3030767846759085,0.305228054523468,26,4,3,10
MRI-aligned molecular representation,agfv_h128_align100_contrast020,Test,44,20,0.9007444168734492,0.913151364764268,0.9090909090909091,0.9230769230769231,0.9032258064516129,0.8571428571428571,0.967741935483871,0.913151364764268,0.7266175746917725,0.8454615473747253,0.727440924477812,0.4947315563758233,0.22250136733055115,28,3,1,12
MRI-aligned molecular representation,agfv_h256_align100_no_mritogfv,Train,202,22,0.9994073722887282,0.993006993006993,0.9900990099009901,1.0,0.986013986013986,0.9833333333333333,1.0,1.0,0.919054388999939,0.9311264157295227,0.9202853839782933,0.7064097694444372,0.17397759854793549,141,2,0,59
MRI-aligned molecular representation,agfv_h256_align100_no_mritogfv,Validation,43,22,0.905128205128205,0.8179487179487179,0.8372093023255814,0.7692307692307693,0.8666666666666667,0.7407407407407407,0.9820512820512821,0.8948717948717949,0.6309000849723816,0.8791912198066711,0.6332286516528267,0.31354143597522777,0.5267132520675659,26,4,3,10
MRI-aligned molecular representation,agfv_h256_align100_no_mritogfv,Test,44,22,0.9156327543424317,0.913151364764268,0.9090909090909091,0.9230769230769231,0.9032258064516129,0.8571428571428571,0.9627791563275434,0.913151364764268,0.7715925574302673,0.908572793006897,0.7729824378062721,0.520477226432734,0.3570435345172882,28,3,1,12
