Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Final GE branch panel,Final GE branch panel size,Final GE branch selection rule,Selected probe panel label,Selected probe panel size,Approximate unique gene symbols in selected panel
SLC2A14 || SLC2A3,11747751_s_at,,0.250569598483441,4.65707947019868,4.30561576173448,2.25796136118254e-05,0.310296698028294,2.36847867243681,1,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
MAPK14,11742204_a_at,LOC1432,0.194035139543118,8.77088741721854,4.26895958200686,2.63757216100178e-05,0.310296698028294,2.23489556475232,2,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
NAB2,11744292_at,LOC4665,-0.144177605398864,4.13349668874172,-4.24767584238358,2.88521730175864e-05,0.310296698028294,2.15779103035766,3,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
EIF3H,11760274_at,,0.239454868581359,3.89272847682119,4.24557253117395,2.91086193641601e-05,0.310296698028294,2.15018967710719,4,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ANXA3,11756334_x_at,LOC306,0.422467140872147,8.09656622516556,4.22741046463234,3.14154515478369e-05,0.310296698028294,2.08468923018888,5,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SNX11,11751113_a_at,LOC29916,0.146144969517026,5.06749006622517,4.07651533579414,5.86039434899556e-05,0.345271592270675,1.55005012790387,6,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CD177,11730765_at,LOC57126,0.576577919345298,3.56375496688742,4.06873263021161,6.0489387465316e-05,0.345271592270675,1.5229401644436,7,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
GM2A,11719922_a_at,LOC2760,0.225910525866744,4.28660264900662,4.05031917312882,6.51827453231769e-05,0.345271592270675,1.45898209036158,8,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SLC22A1,11731577_a_at,LOC6580,0.388644875362619,6.53481456953642,4.0441927740538,6.6819649347178e-05,0.345271592270675,1.43775937227689,9,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
BCL6,11750749_a_at,LOC604,0.305649405380428,7.19795695364238,3.97338450564979,8.88078164372453e-05,0.345271592270675,1.19453969867753,10,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
PYGL,11719302_a_at,LOC5836,0.185077506386802,10.3437913907285,3.96438664172683,9.2050339824303e-05,0.345271592270675,1.16390647045039,11,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ANXA3,11724283_a_at,LOC306,0.377456414852731,8.27260264900662,3.94665069152807,9.87736770679063e-05,0.345271592270675,1.10370558369589,12,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
QPCT,11719828_x_at,LOC25797,0.252908797199744,9.00254635761589,3.92994034932874,0.0001055324126061,0.345271592270675,1.04720610083711,13,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
,11762865_a_at,,0.32052238015587,8.34857947019868,3.92246125546691,0.000108697482814,0.345271592270675,1.02198776362647,14,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
HECW2,11730579_a_at,LOC57520,0.326775306716423,4.43147350993377,3.92052277321315,0.0001095323968365,0.345271592270675,1.01545850137184,15,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
TNFAIP8L1,11759187_at,LOC126282,-0.140773931090535,7.09251655629139,-3.91519040168822,0.0001118605571686,0.345271592270675,0.99751269211623,16,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
DNAJC3,11717373_at,LOC5611,0.243343692566701,4.64951655629139,3.88152286716152,0.0001276789334017,0.370914812057695,0.884710497063478,17,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CC2D2A,11732751_a_at,LOC57545,0.140728693370398,2.85514900662252,3.85749903014165,0.0001402375350999,0.384765050469294,0.804752293618646,18,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
HAL,11751231_a_at,LOC3034,0.296058813668614,6.35745033112583,3.83036973859404,0.0001558231499495,0.403607991981009,0.714993249493872,19,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
TENM1,11737984_at,LOC10178,0.331552861017323,3.57201655629139,3.79331644891896,0.0001797721618045,0.403607991981009,0.593319103125589,20,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
