Seed,Gene panel label,Selection rule,Actual probes used,Split,"Subjects, n",Best epoch,GFV dimension,Dropout,Learning rate,Weight decay,Label smoothing,Accuracy,Balanced accuracy,AUC,Precision,Recall / AD sensitivity,CN specificity,F1 score,TN,FP,FN,TP
42,Top 50,Top 50 limma-ranked probes by raw P value,50,train,211,121,128,0.6,0.0001,0.005,0.05,0.8009478672985783,0.807968682968683,0.8886743886743886,0.6265060240963856,0.8253968253968254,0.7905405405405406,0.7123287671232876,117,31,11,52
42,Top 50,Top 50 limma-ranked probes by raw P value,50,val,45,121,128,0.6,0.0001,0.005,0.05,0.8,0.8137019230769231,0.826923076923077,0.6111111111111112,0.8461538461538461,0.78125,0.7096774193548387,25,7,2,11
42,Top 50,Top 50 limma-ranked probes by raw P value,50,test,46,121,128,0.6,0.0001,0.005,0.05,0.6956521739130435,0.7209821428571428,0.8258928571428571,0.5,0.7857142857142857,0.65625,0.6111111111111112,21,11,3,11
42,Top 100,Top 100 limma-ranked probes by raw P value,100,train,211,114,128,0.6,0.0001,0.005,0.05,0.8341232227488151,0.8635242385242385,0.9537752037752038,0.6555555555555556,0.9365079365079365,0.7905405405405406,0.7712418300653595,117,31,4,59
42,Top 100,Top 100 limma-ranked probes by raw P value,100,val,45,114,128,0.6,0.0001,0.005,0.05,0.8444444444444444,0.8677884615384616,0.9206730769230769,0.6666666666666666,0.9230769230769231,0.8125,0.7741935483870968,26,6,1,12
42,Top 100,Top 100 limma-ranked probes by raw P value,100,test,46,114,128,0.6,0.0001,0.005,0.05,0.6521739130434783,0.6696428571428572,0.8013392857142857,0.45454545454545453,0.7142857142857143,0.625,0.5555555555555556,20,12,4,10
42,Top 250,Top 250 limma-ranked probes by raw P value,250,train,211,153,128,0.6,0.0001,0.005,0.05,0.957345971563981,0.9695945945945945,1.0,0.875,1.0,0.9391891891891891,0.9333333333333333,139,9,0,63
42,Top 250,Top 250 limma-ranked probes by raw P value,250,val,45,153,128,0.6,0.0001,0.005,0.05,0.8444444444444444,0.8221153846153846,0.9254807692307692,0.7142857142857143,0.7692307692307693,0.875,0.7407407407407407,28,4,3,10
42,Top 250,Top 250 limma-ranked probes by raw P value,250,test,46,153,128,0.6,0.0001,0.005,0.05,0.7391304347826086,0.7723214285714286,0.8616071428571428,0.5454545454545454,0.8571428571428571,0.6875,0.6666666666666666,22,10,2,12
42,Top 500,Top 500 limma-ranked probes by raw P value,500,train,211,73,128,0.6,0.0001,0.005,0.05,0.9715639810426541,0.9797297297297297,0.9996782496782497,0.9130434782608695,1.0,0.9594594594594594,0.9545454545454546,142,6,0,63
