Model,Split,AUC,Balanced accuracy,Accuracy,AD sensitivity,CN specificity,F1
GE branch classifier,Train,1.0,1.0,1.0,,1.0,
GE branch classifier,Validation,0.971794871794872,0.8948717948717949,0.8837209302325582,,0.8666666666666667,
GE branch classifier,Test,0.9578163771712158,0.913151364764268,0.9090909090909092,,0.9032258064516128,
MRI branch classifier,Train,0.9964318509773056,0.9932928543318154,0.9933078393881452,,0.993388429752066,
MRI branch classifier,Validation,0.926234190126479,0.8088943288453693,0.8214285714285714,,0.8914728682170543,
MRI branch classifier,Test,0.9076113360323886,0.8279352226720648,0.8355555555555556,,0.8769230769230769,
AGFV logistic classifier,Train,0.9992245736984176,0.9972476023965062,0.9971671388101984,0.9977578475336324,0.99673735725938,0.9966405375139976
AGFV logistic classifier,Validation,0.9277845777233782,0.8443492452060384,0.8526785714285714,0.7894736842105263,0.8992248062015504,0.819672131147541
AGFV logistic classifier,Test,0.8767611336032388,0.8269230769230769,0.8311111111111111,0.8,0.8538461538461538,0.8
AGFV NN classifier,Train,0.9990490054791916,0.9972476023965062,0.9971671388101984,0.9977578475336324,0.99673735725938,0.9966405375139976
AGFV NN classifier,Validation,0.9247654018767848,0.850999592003264,0.8571428571428571,0.8105263157894737,0.8914728682170543,0.8279569892473119
AGFV NN classifier,Test,0.8859514170040484,0.8283400809716599,0.8311111111111111,0.8105263157894737,0.8461538461538461,0.8020833333333334
